timestamp,device,mode,frequency_hz,amplitude_dbfs,L_rms_dbfs,R_rms_dbfs,L_peak_dbfs,R_peak_dbfs,L_crest,R_crest,balance_db,L_thd_pct,R_thd_pct
2026-03-16T11:10:07,turquoise,R_only,95.6,-12,-33.9,-22.57,-33.79,-19.06,1.013,1.499,-11.326,95.492,0.077
2026-03-16T11:10:09,turquoise,both,95.6,-12,-22.18,-22.57,-17.95,-19.06,1.627,1.498,0.398,0.059,0.073
2026-03-16T11:10:11,turquoise,L_only,124.07,-12,-21.28,-43.64,-17.14,-43.3,1.612,1.039,22.358,0.035,49.153
2026-03-16T11:10:13,turquoise,R_only,124.07,-12,-33.9,-21.59,-33.79,-18.11,1.013,1.492,-12.309,84.443,0.05
2026-03-16T11:10:15,turquoise,both,124.07,-12,-21.28,-21.59,-17.14,-18.13,1.612,1.49,0.307,0.037,0.045
2026-03-16T11:10:17,turquoise,L_only,161.03,-12,-20.63,-43.63,-16.54,-43.27,1.6,1.043,23.003,0.02,57.359
2026-03-16T11:10:19,turquoise,R_only,161.03,-12,-33.91,-20.87,-33.79,-17.43,1.014,1.486,-13.035,69.428,0.029
2026-03-16T11:10:21,turquoise,both,161.03,-12,-20.63,-20.87,-16.55,-17.43,1.6,1.486,0.243,0.021,0.028
2026-03-16T11:10:24,turquoise,L_only,209.0,-12,-20.18,-43.62,-16.14,-43.27,1.592,1.042,23.448,0.012,47.519
2026-03-16T11:10:26,turquoise,R_only,209.0,-12,-33.92,-20.37,-33.8,-16.96,1.014,1.482,-13.543,92.441,0.017
2026-03-16T11:10:28,turquoise,both,209.0,-12,-20.18,-20.38,-16.14,-16.96,1.592,1.481,0.2,0.013,0.015
2026-03-16T11:10:30,turquoise,L_only,271.26,-12,-19.88,-43.65,-15.87,-43.3,1.587,1.041,23.772,0.008,38.139
2026-03-16T11:10:32,turquoise,R_only,271.26,-12,-33.9,-20.05,-33.77,-16.65,1.015,1.479,-13.851,62.914,0.01
2026-03-16T11:10:34,turquoise,both,271.26,-12,-19.88,-20.05,-15.88,-16.65,1.586,1.479,0.168,0.008,0.009
2026-03-16T11:10:36,turquoise,L_only,352.06,-12,-19.7,-43.6,-15.71,-43.3,1.584,1.035,23.899,0.008,61.697
2026-03-16T11:10:38,turquoise,R_only,352.06,-12,-33.91,-19.85,-33.8,-16.46,1.012,1.478,-14.059,89.862,0.007
2026-03-16T11:10:40,turquoise,both,352.06,-12,-19.7,-19.85,-15.71,-16.46,1.584,1.478,0.148,0.008,0.008
2026-03-16T11:10:42,turquoise,L_only,456.94,-12,-19.6,-43.6,-15.61,-43.3,1.582,1.035,24.006,0.009,45.018
2026-03-16T11:10:44,turquoise,R_only,456.94,-12,-33.91,-19.73,-33.81,-16.35,1.011,1.477,-14.182,108.466,0.008
2026-03-16T11:10:46,turquoise,both,456.94,-12,-19.6,-19.73,-15.61,-16.35,1.582,1.477,0.135,0.009,0.008
2026-03-16T11:10:48,turquoise,L_only,593.05,-12,-19.54,-43.6,-15.56,-43.3,1.581,1.035,24.063,0.009,42.205
2026-03-16T11:10:50,turquoise,R_only,593.05,-12,-33.91,-19.67,-33.8,-16.28,1.013,1.476,-14.243,80.888,0.008
2026-03-16T11:10:52,turquoise,both,593.05,-12,-19.54,-19.67,-15.57,-16.29,1.581,1.476,0.127,0.009,0.01
2026-03-16T11:10:54,turquoise,L_only,769.71,-12,-19.53,-43.62,-15.55,-43.27,1.581,1.041,24.089,0.009,54.95
2026-03-16T11:10:56,turquoise,R_only,769.71,-12,-33.9,-19.65,-33.79,-16.27,1.014,1.476,-14.254,75.21,0.009
2026-03-16T11:10:58,turquoise,both,769.71,-12,-19.53,-19.65,-15.55,-16.27,1.581,1.476,0.123,0.009,0.01
2026-03-16T11:11:00,turquoise,L_only,999.0,-12,-19.55,-43.59,-15.57,-43.27,1.582,1.038,24.041,0.01,41.312
2026-03-16T11:11:02,turquoise,R_only,999.0,-12,-33.91,-19.67,-33.79,-16.28,1.014,1.477,-14.241,38.598,0.01
2026-03-16T11:11:05,turquoise,both,999.0,-12,-19.55,-19.67,-15.57,-16.28,1.581,1.477,0.121,0.011,0.01
2026-03-16T11:11:07,turquoise,L_only,1000.0,-12,-19.55,-43.6,-15.58,-43.27,1.579,1.039,24.049,0.009,71.232
2026-03-16T11:11:09,turquoise,R_only,1000.0,-12,-33.91,-19.67,-33.79,-16.3,1.014,1.474,-14.242,74.335,0.008
2026-03-16T11:11:11,turquoise,both,1000.0,-12,-19.55,-19.67,-15.58,-16.3,1.579,1.474,0.121,0.009,0.01
2026-03-16T11:11:13,turquoise,L_only,1534.13,-12,-19.66,-43.6,-15.67,-43.27,1.583,1.039,23.94,0.01,44.032
2026-03-16T11:11:15,turquoise,R_only,1534.13,-12,-33.91,-19.78,-33.79,-16.39,1.014,1.478,-14.124,94.576,0.01
2026-03-16T11:11:17,turquoise,both,1534.13,-12,-19.66,-19.78,-15.67,-16.39,1.583,1.477,0.123,0.009,0.011
2026-03-16T11:11:19,turquoise,L_only,2353.55,-12,-19.85,-43.59,-15.84,-43.27,1.587,1.039,23.745,0.009,34.362
2026-03-16T11:11:21,turquoise,R_only,2353.55,-12,-33.92,-19.98,-33.8,-16.58,1.013,1.479,-13.938,93.984,0.009
2026-03-16T11:11:23,turquoise,both,2353.55,-12,-19.85,-19.98,-15.84,-16.58,1.586,1.478,0.13,0.009,0.009
2026-03-16T11:11:25,turquoise,L_only,3610.64,-12,-19.91,-43.6,-15.9,-43.3,1.587,1.035,23.696,0.01,48.148
2026-03-16T11:11:27,turquoise,R_only,3610.64,-12,-33.9,-20.04,-33.8,-16.64,1.012,1.48,-13.864,63.299,0.01
2026-03-16T11:11:29,turquoise,both,3610.64,-12,-19.91,-20.04,-15.9,-16.64,1.587,1.479,0.131,0.01,0.009
2026-03-16T11:11:31,turquoise,L_only,5539.18,-12,-19.47,-43.6,-15.5,-43.27,1.58,1.039,24.123,0.011,25.398
2026-03-16T11:11:33,turquoise,R_only,5539.18,-12,-33.9,-19.59,-33.79,-16.21,1.013,1.476,-14.308,60.361,0.01
2026-03-16T11:11:35,turquoise,both,5539.18,-12,-19.48,-19.59,-15.5,-16.21,1.58,1.476,0.116,0.01,0.01
2026-03-16T11:11:37,turquoise,L_only,8497.81,-12,-19.8,-43.59,-15.8,-43.27,1.586,1.038,23.787,0.011,18.486
2026-03-16T11:11:39,turquoise,R_only,8497.81,-12,-33.9,-19.93,-33.79,-16.53,1.013,1.479,-13.973,38.78,0.009
2026-03-16T11:11:41,turquoise,both,8497.81,-12,-19.8,-19.93,-15.8,-16.54,1.585,1.478,0.127,0.011,0.009
2026-03-16T11:11:43,turquoise,L_only,13036.73,-12,-19.42,-43.62,-15.45,-43.3,1.58,1.037,24.199,0.0,0.0
